MT-TF	ENSG00000210049
BICC1	ENSG00000122870
RBM15B	ENSG00000259956
UVRAG	ENSG00000198382
SLC25A23	ENSG00000125648
TMEM70	ENSG00000175606
PRAL	ENSG00000279296
TNFRSF9	ENSG00000049249
CCDC47	ENSG00000108588
IRAK4	ENSG00000198001
STIM2-AS1	ENSG00000240005
MRPL27	ENSG00000108826
PMP2	ENSG00000147588
DBN1	ENSG00000113758
SRP72	ENSG00000174780
RPS20P21	ENSG00000244295
ARMC3	ENSG00000165309
RNASEH2A	ENSG00000104889
FTH1P11	ENSG00000237264
FABP12	ENSG00000197416
ZFHX2	ENSG00000136367
PLA1A	ENSG00000144837
DNAAF4	ENSG00000256061
BORCS8	ENSG00000254901
GNRH2	ENSG00000125787
FABP9	ENSG00000205186
FAAP20	ENSG00000162585
TRAV39	ENSG00000211818
CCDC58P2	ENSG00000236944
FABP4	ENSG00000170323
TRAV40	ENSG00000211819
SDHB	ENSG00000117118
JPH4	ENSG00000092051
JUNB	ENSG00000171223
RTBDN	ENSG00000132026
MIR7-3HG	ENSG00000176840
COX6CP4	ENSG00000270500
DBIP2	ENSG00000251366
UVRAG-DT	ENSG00000255507
BECN1P2	ENSG00000219669
LINC01337	ENSG00000251221
LYPLA1P3	ENSG00000218350
EXTL3	ENSG00000012232
MRAS	ENSG00000158186
PPP1R1AP1	ENSG00000255255
C2orf16	ENSG00000221843
GPR21	ENSG00000188394
RABGAP1	ENSG00000011454
C19orf85	ENSG00000283567
TRAV41	ENSG00000211820
C15orf65	ENSG00000261652
ZNF705CP	ENSG00000215339
EDNRB-AS1	ENSG00000225579
CCPG1	ENSG00000260916
FAM66A	ENSG00000227888
LINC02245	ENSG00000237638
CTNNBL1	ENSG00000132792
ZFHX2-AS1	ENSG00000157306
SUGT1	ENSG00000165416
CD4	ENSG00000010610
SYN3	ENSG00000185666
AP1G2	ENSG00000213983
BORCS8-MEF2B	ENSG00000064489
ADGRA3	ENSG00000152990
ATP5PO	ENSG00000241837
PRKCZ	ENSG00000067606
SLC36A1	ENSG00000123643
TFAMP2	ENSG00000254798
EXTL3-AS1	ENSG00000246339
RPL22P2	ENSG00000241081
LINC02507	ENSG00000251688
ATP6V0E1P4	ENSG00000227883
TIMP3	ENSG00000100234
ZNF271P	ENSG00000257267
LINC00474	ENSG00000204148
TRAM1	ENSG00000067167
CCDC177	ENSG00000267909
SEPT3	ENSG00000100167
TMEM207	ENSG00000198398
GORASP1	ENSG00000114745
SUSD6	ENSG00000100647
LINC01904	ENSG00000259837
VENTXP7	ENSG00000236380
SEC1P	ENSG00000232871
FAM90A25P	ENSG00000251402
ZNF335	ENSG00000198026
NTN5	ENSG00000142233
ZNF192P1	ENSG00000226314
MRPS26	ENSG00000125901
PTGES2	ENSG00000148334
FEM1A	ENSG00000141965
LINC00472	ENSG00000233237
ALG1L12P	ENSG00000250794
LINC00844	ENSG00000237949
HMGN1P10	ENSG00000244101
COX6CP3	ENSG00000266251
GTF2F2	ENSG00000188342
RBSN	ENSG00000131381
UGT2B17	ENSG00000197888
STAG1	ENSG00000118007
CA11	ENSG00000063180
DNAAF4-CCPG1	ENSG00000261771
THSD8	ENSG00000284491
FAM86B2	ENSG00000145002
OXT	ENSG00000101405
PRDX2	ENSG00000167815
DHFRP6	ENSG00000219095
PIGB	ENSG00000069943
RPLP1P10	ENSG00000226888
GRINA	ENSG00000178719
COL21A1	ENSG00000124749
TRAF6P1	ENSG00000226557
KCTD4	ENSG00000180332
AVP	ENSG00000101200
SON	ENSG00000159140
UNC13B	ENSG00000198722
OGFRL1	ENSG00000119900
THOP1	ENSG00000172009
PLIN3	ENSG00000105355
LAMA2	ENSG00000196569
CT47A10	ENSG00000224089
CTAGE9	ENSG00000236761
LINC02563	ENSG00000263520
ENPP3	ENSG00000154269
NBR1	ENSG00000188554
GRIN3A	ENSG00000198785
ZNF92P1Y	ENSG00000215603
ATF1	ENSG00000123268
EXOSC9	ENSG00000123737
THEGL	ENSG00000249693
POU5F1P5	ENSG00000236375
RPL22P1	ENSG00000213178
HERC4	ENSG00000148634
ARL9	ENSG00000196503
PPP3R2	ENSG00000188386
SPATC1	ENSG00000186583
MICAL3	ENSG00000243156
PHYHIPL	ENSG00000165443
EIF3IP1	ENSG00000237064
RPL3P8	ENSG00000232199
CT47A9	ENSG00000226600
PAICS	ENSG00000128050
ZBTB49	ENSG00000168826
PARP10	ENSG00000178685
GUCY2D	ENSG00000132518
FAM138B	ENSG00000226516
VDAC1P3	ENSG00000234702
EIF4A1P10	ENSG00000229132
SNX3P1X	ENSG00000230543
KRT18P11	ENSG00000215089
PCDH11X	ENSG00000102290
WDR48	ENSG00000114742
HACD4	ENSG00000188921
ZNF628	ENSG00000197483
FAM13C	ENSG00000148541
BACE1	ENSG00000186318
GTF2H1	ENSG00000110768
LINC00470	ENSG00000132204
CT47A8	ENSG00000230347
LINC00863	ENSG00000224914
PEAK1	ENSG00000173517
NUTM2D	ENSG00000214562
CT47A7	ENSG00000228517
TMPRSS12	ENSG00000186452
ENPP7P6	ENSG00000255549
SLC47A1	ENSG00000142494
APP	ENSG00000142192
METTL24	ENSG00000053328
CT47A6	ENSG00000226023
LINC02120	ENSG00000248279
CDC40	ENSG00000168438
LINC02160	ENSG00000251443
OR2A4	ENSG00000180658
RPS26P34	ENSG00000240427
ACTR1B	ENSG00000115073
NIPA2P4	ENSG00000254151
IMPA1P1	ENSG00000251521
DDX11L2	ENSG00000236397
HNRNPA1P23	ENSG00000240236
PRKCZ-AS1	ENSG00000182873
CSTA	ENSG00000121552
SLC10A5P1	ENSG00000205184
WASH2P	ENSG00000146556
NOL6	ENSG00000165271
TTC21A	ENSG00000168026
CT47A5	ENSG00000237957
LINC01411	ENSG00000249306
RPS18P13	ENSG00000243455
GAPDHP71	ENSG00000213376
RPL21P4	ENSG00000240828
GAPDHP41	ENSG00000277172
NBR2	ENSG00000198496
GLDCP1	ENSG00000248590
C9	ENSG00000113600
DOCK2	ENSG00000134516
LRRN3	ENSG00000173114
ZMAT2	ENSG00000146007
PES1P1	ENSG00000248191
CCDC58	ENSG00000160124
LINC02462	ENSG00000251291
AXIN1	ENSG00000103126
ABTB2	ENSG00000166016
PNMA1	ENSG00000176903
CCDC121	ENSG00000176714
RAD54L2	ENSG00000164080
LINC02485	ENSG00000248456
MESTP1	ENSG00000220884
HARS	ENSG00000170445
KRT18P54	ENSG00000250834
IMMP2L	ENSG00000184903
GPN1	ENSG00000198522
TARS2P1	ENSG00000248104
BMPR1AP1	ENSG00000219642
CHD4	ENSG00000111642
LINC00613	ENSG00000248330
SUMO2P6	ENSG00000249031
ARL5B	ENSG00000165997
HIGD1AP3	ENSG00000248929
DAB2	ENSG00000153071
MSX2	ENSG00000120149
HLA-DRB5	ENSG00000198502
VAV3	ENSG00000134215
PCCB	ENSG00000114054
ZAR1L	ENSG00000189167
ELMSAN1	ENSG00000156030
RPL10P7	ENSG00000242052
ANAPC2	ENSG00000176248
CCNA2	ENSG00000145386
BCRP4	ENSG00000215456
SLC47A1P1	ENSG00000228983
LY6D	ENSG00000167656
CT47A4	ENSG00000230594
MAP3K7	ENSG00000135341
POM121L1P	ENSG00000183169
GGTLC2	ENSG00000100121
SNORA59B	ENSG00000266079
CDH2	ENSG00000170558
RPL17P43	ENSG00000228331
STX18	ENSG00000168818
METTL7A	ENSG00000185432
THTPA	ENSG00000259431
FTLP1	ENSG00000235525
TMEM200B	ENSG00000253304
LRRC59	ENSG00000108829
TEX264	ENSG00000164081
ZNF385D-AS1	ENSG00000225542
CBX3P4	ENSG00000256030
ZNF385D-AS2	ENSG00000223351
LINC00570	ENSG00000224177
ZNF385D	ENSG00000151789
SSNA1	ENSG00000176101
CT47A3	ENSG00000236126
RHNO1	ENSG00000171792
MSH3	ENSG00000113318
EME1	ENSG00000154920
SIGLEC9	ENSG00000129450
CT47A2	ENSG00000242362
NIFKP2	ENSG00000251122
LINC01951	ENSG00000204754
RPL23AP7	ENSG00000240356
IL32	ENSG00000008517
DSG3	ENSG00000134757
CT47A1	ENSG00000236371
ITFG2	ENSG00000111203
HIGD1C	ENSG00000214511
CNMD	ENSG00000136110
GLUD2	ENSG00000182890
TERF1P3	ENSG00000249311
CHRNA5	ENSG00000169684
PAPPA-AS1	ENSG00000256040
SLC4A4	ENSG00000080493
HSPA8P1	ENSG00000234176
TPT1P13	ENSG00000213498
PAPPA-AS2	ENSG00000226604
PAPPA	ENSG00000182752
LINC02265	ENSG00000249241
LINC02511	ENSG00000248869
RPL3P12	ENSG00000232496
RBBP4P3	ENSG00000276290
LINC02510	ENSG00000250341
AMMECR1LP1	ENSG00000233273
HS6ST3	ENSG00000185352
CHRNA9	ENSG00000174343
MTRNR2L9	ENSG00000255633
COX17	ENSG00000138495
MRRFP1	ENSG00000224236
FASTKD5	ENSG00000215251
HNRNPC	ENSG00000092199
LY96	ENSG00000154589
SIKE1	ENSG00000052723
ST13	ENSG00000100380
UBOX5	ENSG00000185019
PPIAP26	ENSG00000150276
DDX56	ENSG00000136271
PSMA6P1	ENSG00000215414
CHRNA3	ENSG00000080644
POPDC2	ENSG00000121577
FOXJ1	ENSG00000129654
HLA-DRB6	ENSG00000229391
ATF4P3	ENSG00000228218
NSG1	ENSG00000168824
RNF157-AS1	ENSG00000267128
KCNAB2	ENSG00000069424
SLC5A3	ENSG00000198743
ATP5MGP6	ENSG00000267376
PARK7	ENSG00000116288
LINC00310	ENSG00000227456
RNF157	ENSG00000141576
PCDH8	ENSG00000136099
F7	ENSG00000057593
GSC2	ENSG00000063515
RABL2A	ENSG00000144134
UBOX5-AS1	ENSG00000235958
RPS5P2	ENSG00000224598
KHDRBS2-OT	ENSG00000250686
MRPS6	ENSG00000243927
LINC01311	ENSG00000260924
KHDRBS2	ENSG00000112232
ZNF603P	ENSG00000216901
IQSEC3P1	ENSG00000256902
SUMO2P15	ENSG00000271236
ZNF192P2	ENSG00000218016
ALOX15B	ENSG00000179593
FAT4	ENSG00000196159
ZNF541	ENSG00000118156
RPS3AP32	ENSG00000240047
ZNHIT1P1	ENSG00000253421
CYP11B2	ENSG00000179142
MTRNR2L2	ENSG00000271043
DHFR	ENSG00000228716
ZNF512	ENSG00000243943
CYP11B1	ENSG00000160882
HYAL3	ENSG00000186792
GANC	ENSG00000214013
MEPCE	ENSG00000146834
IL12RB1	ENSG00000096996
C15orf62	ENSG00000188277
ZFYVE19	ENSG00000166140
STX18-AS1	ENSG00000247708
EMC4	ENSG00000128463
LOXL4	ENSG00000138131
ZCWPW1	ENSG00000078487
IFRD2	ENSG00000214706
STX18-IT1	ENSG00000248221
RPS7P15	ENSG00000237170
RPL35AP19	ENSG00000239872
MICALL2	ENSG00000164877
LINC01069	ENSG00000236133
RNF219-AS1	ENSG00000234377
FAT2	ENSG00000086570
ZNF334	ENSG00000198185
ITPRIPL2	ENSG00000205730
B4GALNT4	ENSG00000182272
SYT17	ENSG00000103528
RAPGEFL1	ENSG00000108352
GML	ENSG00000104499
SLC12A6	ENSG00000140199
CEP164	ENSG00000110274
SLC4A1AP	ENSG00000163798
FTSJ3	ENSG00000108592
AIFM1P1	ENSG00000225509
CENPIP1	ENSG00000224778
ZNF24	ENSG00000172466
POU4F1	ENSG00000152192
LINC00446	ENSG00000229249
RPL31P54	ENSG00000229865
RNF219	ENSG00000152193
GBA3	ENSG00000249948
MRPS36P3	ENSG00000253814
SLC41A3	ENSG00000114544
HAS2-AS1	ENSG00000248690
LSMEM2	ENSG00000179564
ATP6V0B	ENSG00000117410
MAST3	ENSG00000099308
TUBGCP6	ENSG00000128159
NAA80	ENSG00000243477
EDNRB	ENSG00000136160
TRIM16L	ENSG00000108448
HAS2	ENSG00000170961
HMGB1P5	ENSG00000132967
TMEM87A	ENSG00000103978
RANP7	ENSG00000226183
PRSS33	ENSG00000103355
OLFM4	ENSG00000102837
CDC42P6	ENSG00000237350
SMIM40	ENSG00000285064
UNC13A	ENSG00000130477
SALL4P5	ENSG00000231915
OXER1	ENSG00000162881
DNAH1	ENSG00000114841
MTND2P16	ENSG00000230818
MORF4L1P3	ENSG00000255040
PDE3B	ENSG00000152270
UBE2V2P1	ENSG00000226255
CAPNS1	ENSG00000126247
MALRD1	ENSG00000204740
PSMC5	ENSG00000087191
HSP90AB6P	ENSG00000235137
GCHFR	ENSG00000137880
SUPT7L	ENSG00000119760
POU6F2-AS2	ENSG00000233854
TXN2	ENSG00000100348
POU6F2-AS1	ENSG00000224122
RPL24P7	ENSG00000215016
POU6F2	ENSG00000106536
LINC01065	ENSG00000237092
DNAJC17	ENSG00000104129
SUGT1P1	ENSG00000226823
UBE2E2-AS1	ENSG00000233153
INSYN2B	ENSG00000204767
SIGLEC17P	ENSG00000171101
PCDH8P1	ENSG00000225510
ARRDC5	ENSG00000205784
NDRG4	ENSG00000103034
HMGN1P20	ENSG00000239539
GRIA3	ENSG00000125675
PTMAP8	ENSG00000243014
TUSC7	ENSG00000243197
SIGLEC7	ENSG00000168995
MTND1P37	ENSG00000283456
FGF17	ENSG00000158815
NAT14	ENSG00000090971
LSAMP	ENSG00000185565
MX1	ENSG00000157601
ZNF646P1	ENSG00000274316
ELOCP23	ENSG00000224686
AJM1	ENSG00000232434
SRGNP1	ENSG00000271386
ZFAND3	ENSG00000156639
MAMDC4	ENSG00000177943
DPH2	ENSG00000132768
TULP3P1	ENSG00000234267
PPP4R1-AS1	ENSG00000263627
METTL4	ENSG00000101574
TIMM29	ENSG00000142444
SNX33	ENSG00000173548
LINC00901	ENSG00000242385
RHEBP3	ENSG00000237446
OSTF1	ENSG00000134996
BZW1P2	ENSG00000198406
LINC00903	ENSG00000241397
LSAMP-AS1	ENSG00000240922
CAPN3	ENSG00000092529
OTOA	ENSG00000155719
ZNF736P8Y	ENSG00000244246
IMP3	ENSG00000177971
BPY2DP	ENSG00000229745
INPP5E	ENSG00000148384
ARHGEF18	ENSG00000104880
LDHAL6EP	ENSG00000270098
USP47	ENSG00000170242
RNF214	ENSG00000167257
LINC00558	ENSG00000261517
SLC12A5	ENSG00000124140
E2F6	ENSG00000169016
LINC00458	ENSG00000234787
GDAP1	ENSG00000104381
C6orf58	ENSG00000184530
PHPT1	ENSG00000054148
COL6A1	ENSG00000142156
ANKRD18B	ENSG00000230453
HELZ	ENSG00000198265
NFIB	ENSG00000147862
KRT8P34	ENSG00000264663
NPM1P9	ENSG00000231066
NR1H5P	ENSG00000227970
BLVRA	ENSG00000106605
IKZF3	ENSG00000161405
TUBB4AP1	ENSG00000228466
MBD1	ENSG00000141644
JPH1	ENSG00000104369
ALOX12B	ENSG00000179477
SYCP1	ENSG00000198765
SMPD4P2	ENSG00000229147
DND1	ENSG00000256453
PCYT2	ENSG00000185813
CDK5R1	ENSG00000176749
ALDH1A2	ENSG00000128918
RANBP17	ENSG00000204764
WDR55	ENSG00000120314
DSTNP1	ENSG00000230982
CYP4F10P	ENSG00000267241
ANKRD62	ENSG00000181626
TMEM248P1	ENSG00000249555
NUP58P1	ENSG00000251436
ASB16	ENSG00000161664
PTK2B	ENSG00000120899
FANCB	ENSG00000181544
ZCCHC10	ENSG00000155329
CRYZL1	ENSG00000205758
DUOXA1	ENSG00000140254
ASB16-AS1	ENSG00000267080
SDHDP1	ENSG00000267162
PRDM13	ENSG00000112238
TMEM68	ENSG00000167904
NPHP4	ENSG00000131697
NPTXR	ENSG00000221890
HARS2	ENSG00000112855
NPM1P38	ENSG00000219257
MCHR2-AS1	ENSG00000229315
UBE2E2	ENSG00000182247
CBX6	ENSG00000183741
ESYT3	ENSG00000158220
MCHR2	ENSG00000152034
HNRNPA1P15	ENSG00000214761
LSR	ENSG00000105699
DHFRP5	ENSG00000216859
MAPKAP1	ENSG00000119487
PRR13P3	ENSG00000271412
BACE1-AS	ENSG00000278768
CDRT1	ENSG00000241322
KCNG2	ENSG00000178342
SLC1A4	ENSG00000115902
OCSTAMP	ENSG00000149635
ZNF736P7Y	ENSG00000241200
ZNF736P9Y	ENSG00000239893
LINC02379	ENSG00000251649
ZNF562	ENSG00000171466
LACTB2-AS1	ENSG00000246366
TUBA3C	ENSG00000198033
TTC3-AS1	ENSG00000228677
PRSS41	ENSG00000215148
LACTB2	ENSG00000147592
TTC3	ENSG00000182670
RPL36AP48	ENSG00000213180
RBMY2JP	ENSG00000227204
MRPS24	ENSG00000062582
TM9SF4	ENSG00000101337
SLC35F5	ENSG00000115084
SRD5A1	ENSG00000145545
GK5	ENSG00000175066
TRIM16	ENSG00000221926
LRRK1	ENSG00000154237
URGCP	ENSG00000106608
RPS3AP38	ENSG00000226318
PQLC1	ENSG00000122490
IL25	ENSG00000166090
UBTF	ENSG00000108312
LZTS3	ENSG00000088899
TGS1	ENSG00000137574
ZNF561-AS1	ENSG00000267106
BIRC3	ENSG00000023445
SLC25A1	ENSG00000100075
MTND3P4	ENSG00000230302
ARL2BPP7	ENSG00000230418
PNLIPRP2	ENSG00000266200
RPL13AP25	ENSG00000136149
TNFAIP8	ENSG00000145779
CEP112	ENSG00000154240
AQP9	ENSG00000103569
BICRA	ENSG00000063169
MMP9	ENSG00000100985
LINC00587	ENSG00000204250
ZYG11AP1	ENSG00000232242
URGCP-MRPS24	ENSG00000270617
TUBG1P	ENSG00000237972
CCBE1	ENSG00000183287
EHD2	ENSG00000024422
CPE	ENSG00000109472
RBM48P1	ENSG00000223620
APOBEC3B	ENSG00000179750
PYROXD2	ENSG00000119943
MTND3P12	ENSG00000259626
SERF1AP1	ENSG00000250813
LIPC	ENSG00000166035
STMN1P2	ENSG00000251440
RPS23P2	ENSG00000213448
LINC02274	ENSG00000258586
TSHB	ENSG00000134200
SLC12A5-AS1	ENSG00000204044
UBE2D3P1	ENSG00000225022
PCDH18	ENSG00000189184
HAAO	ENSG00000162882
PROKR2	ENSG00000101292
HADHAP1	ENSG00000251596
FAM162A	ENSG00000114023
BICRA-AS1	ENSG00000269806
PPP1R11P1	ENSG00000236216
KCNE2	ENSG00000159197
RPL5P3	ENSG00000242276
FERP1	ENSG00000232149
THOC2	ENSG00000125676
FBLN5	ENSG00000140092
GPR139	ENSG00000180269
LINC00658	ENSG00000226995
CYP4F12	ENSG00000186204
RBMY2KP	ENSG00000225809
NBPF2P	ENSG00000227001
HS6ST1P1	ENSG00000187952
CTTN	ENSG00000085733
MRTO4	ENSG00000053372
TSPY24P	ENSG00000215601
MOSPD2	ENSG00000130150
ZNF736P6Y	ENSG00000224634
SRSF5	ENSG00000100650
LINC02335	ENSG00000278630
MTND6P1	ENSG00000223955
MTCYBP1	ENSG00000234179
WDR5B	ENSG00000196981
ARL2BPP6	ENSG00000248355
ANOS2P	ENSG00000241859
DRD1	ENSG00000184845
C16orf91	ENSG00000174109
CROCCP5	ENSG00000186543
DUOX1	ENSG00000137857
MRPL16	ENSG00000166902
TMSB4Y	ENSG00000154620
LINC01729	ENSG00000225640
LINC00654	ENSG00000205181
AXIN2	ENSG00000168646
XKR9	ENSG00000221947
BIRC2	ENSG00000110330
PSPC1P1	ENSG00000227879
CARS2	ENSG00000134905
ALDH1A3	ENSG00000184254
LINC00649	ENSG00000237945
CCDC154	ENSG00000197599
LINC02102	ENSG00000248677
MRPL3P1	ENSG00000215349
ANKRD26P3	ENSG00000237636
SNRPEP3	ENSG00000227624
LINC02024	ENSG00000241213
INTU	ENSG00000164066
KPNA1	ENSG00000114030
ITSN1	ENSG00000205726
CYLC2	ENSG00000155833
EYA1	ENSG00000104313
HSD17B14	ENSG00000087076
MTCO3P23	ENSG00000259651
LIPC-AS1	ENSG00000259293
MTCYBP23	ENSG00000259671
MTND5P32	ENSG00000259379
SIPA1	ENSG00000213445
TBC1D3P6	ENSG00000224966
PKP3	ENSG00000184363
DENND3	ENSG00000105339
ZNF29P	ENSG00000108452
LINC00421	ENSG00000236834
INTS2	ENSG00000108506
RPS18P1	ENSG00000225831
OXGR1	ENSG00000165621
WWP1P1	ENSG00000244153
TPT1P14	ENSG00000235929
PFN1P10	ENSG00000176378
VSTM5	ENSG00000214376
NBPF3	ENSG00000142794
PARP4P2	ENSG00000224976
CIR1P3	ENSG00000216708
CCNQP3	ENSG00000231184
ZNF396	ENSG00000186496
VCY	ENSG00000129864
C10orf82	ENSG00000165863
GP2	ENSG00000169347
SEMA4G	ENSG00000095539
TSPAN2	ENSG00000134198
CASC6	ENSG00000224944
RIPPLY2	ENSG00000203877
ENO4	ENSG00000188316
UBE2E1-AS1	ENSG00000223791
OTX2P1	ENSG00000234644
UBE2E1	ENSG00000170142
VEGFA	ENSG00000112715
VCY1B	ENSG00000129862
MTATP6P25	ENSG00000262095
DSG2	ENSG00000046604
MTCO1P56	ENSG00000220340
SHTN1	ENSG00000187164
PWP2	ENSG00000241945
SLC25A15P2	ENSG00000237164
MTND4LP19	ENSG00000219087
INO80C	ENSG00000153391
PNPLA4P1	ENSG00000235451
PDLIM1P4	ENSG00000249274
ST3GAL6-AS1	ENSG00000239445
H2AFZP4	ENSG00000255329
ST3GAL6	ENSG00000064225
PPFIA1	ENSG00000131626
CMTM5	ENSG00000166091
IL1RAP	ENSG00000196083
PSMA6P3	ENSG00000233767
MSRB2	ENSG00000148450
SLC11A2	ENSG00000110911
DSG2-AS1	ENSG00000264859
ARL4AP4	ENSG00000231395
HNF4GP1	ENSG00000228611
F10	ENSG00000126218
SNX18P7	ENSG00000234373
SPATA2P1	ENSG00000228319
CYP4F26P	ENSG00000226562
SLC7A9	ENSG00000021488
XPNPEP3	ENSG00000196236
LINC02261	ENSG00000249699
C9orf163	ENSG00000196366
IGBP1P5	ENSG00000250858
SEC16A	ENSG00000148396
UHRF1	ENSG00000276043
CBLIF	ENSG00000134812
SRARP	ENSG00000183888
CAT	ENSG00000121691
TMEM216	ENSG00000187049
SLC25A5P1	ENSG00000215347
WBP2NL	ENSG00000183066
ING1	ENSG00000153487
ARHGAP22	ENSG00000128805
TMEM203	ENSG00000187713
TPRN	ENSG00000176058
DNAJB7	ENSG00000172404
RPL5P27	ENSG00000228195
HSPA12A	ENSG00000165868
LINC01011	ENSG00000244041
GPCPD1	ENSG00000125772
TTR	ENSG00000118271
ERRFI1	ENSG00000116285
RPS4XP22	ENSG00000239830
HTATSF1P2	ENSG00000271361
F10-AS1	ENSG00000231882
KARSP2	ENSG00000230371
NQO2	ENSG00000124588
ARIH2P1	ENSG00000266296
SFXN1	ENSG00000164466
BANCR	ENSG00000278910
TTC39C	ENSG00000168234
NAGA	ENSG00000198951
RBM47	ENSG00000163694
TWNK	ENSG00000107815
EIF4EP1	ENSG00000233578
USP32P2	ENSG00000233327
ATXN7L3	ENSG00000087152
SRP68P2	ENSG00000227689
PLEKHA4	ENSG00000105559
FAM106A	ENSG00000273018
SMC5	ENSG00000198887
TRAJ59	ENSG00000211832
TRDD2	ENSG00000237235
TRAJ54	ENSG00000211836
TRAJ57	ENSG00000211834
TRDJ1	ENSG00000211825
RPL5P19	ENSG00000220553
ITIH1	ENSG00000055957
TTC39C-AS1	ENSG00000264745
PEX11A	ENSG00000166821
STAT5A	ENSG00000126561
TRDC	ENSG00000211829
TRDJ4	ENSG00000211826
TRDJ3	ENSG00000211828
TRAJ58	ENSG00000211833
TRAJ61	ENSG00000211831
YWHAZP3	ENSG00000229932
CCDC144B	ENSG00000154874
TRDD3	ENSG00000228985
TRDV3	ENSG00000256590
PRR20C	ENSG00000229665
TRAJ55	ENSG00000250688
TRDV2	ENSG00000211821
DUOX2	ENSG00000140279
TRAJ60	ENSG00000249446
DDRGK1	ENSG00000198171
PTF1A	ENSG00000168267
TRDJ2	ENSG00000211827
TRAJ56	ENSG00000211835
TRDD1	ENSG00000223997
RPL36AP43	ENSG00000241362
PLIN1	ENSG00000166819
PRR20A	ENSG00000204919
MRPL43	ENSG00000055950
TMC2	ENSG00000149488
PAGR1	ENSG00000280789
MESTP3	ENSG00000250927
ANAPC11	ENSG00000141552
PRR20B	ENSG00000204918
SELENOKP2	ENSG00000219532
ENPP1	ENSG00000197594
MAZ	ENSG00000103495
MIR194-2HG	ENSG00000229719
ARHGAP22-IT1	ENSG00000248682
FUT2	ENSG00000176920
PADI2	ENSG00000117115
CDV3	ENSG00000091527
KEAP1	ENSG00000079999
LINC02531	ENSG00000220908
ATF1P1	ENSG00000219387
COPS5P1	ENSG00000213187
MSLN	ENSG00000102854
TMUB2	ENSG00000168591
GCNT1P3	ENSG00000231047
SHF	ENSG00000138606
MTND1P1	ENSG00000226529
MTND2P3	ENSG00000234850
RFPL4AP3	ENSG00000251220
MAMSTR	ENSG00000176909
PRSS3P4	ENSG00000204982
TRBV20OR9-2	ENSG00000205274
ATG2A	ENSG00000110046
ANXA2P2	ENSG00000231991
NR3C1	ENSG00000113580
PRR20D	ENSG00000227151
MRPS10P2	ENSG00000234325
UVSSA	ENSG00000163945
SUMF1	ENSG00000144455
TRAPPC2P2	ENSG00000253124
FBXW10	ENSG00000171931
ERVH-1	ENSG00000251292
ZDHHC16	ENSG00000171307
DSC3	ENSG00000134762
KATNBL1P3	ENSG00000235422
NDC80	ENSG00000080986
PPARGC1A	ENSG00000109819
FAM243A	ENSG00000222018
LINC02364	ENSG00000250190
SMIM11A	ENSG00000205670
MYH6	ENSG00000197616
CCNB1IP1	ENSG00000100814
RPL18P11	ENSG00000213307
DNA2	ENSG00000138346
FKBP1C	ENSG00000198225
SPTLC1P3	ENSG00000219940
CHRNB4	ENSG00000117971
LINC00456	ENSG00000233124
ARL5C	ENSG00000141748
PROZ	ENSG00000126231
CCDC58P3	ENSG00000267076
FOXRED2	ENSG00000100350
CYP2R1	ENSG00000186104
PRDX2P4	ENSG00000213177
DUOXA2	ENSG00000140274
TRBV21OR9-2	ENSG00000183938
RPL23AP4	ENSG00000212932
NKX1-1	ENSG00000235608
ALOXE3	ENSG00000179148
PRRT2	ENSG00000167371
SIM1	ENSG00000112246
RBX1	ENSG00000100387
RASIP1	ENSG00000105538
BNIP3P5	ENSG00000260571
CLCNKA	ENSG00000186510
ASTN2-AS1	ENSG00000229105
WIPF2	ENSG00000171475
KRT18P8	ENSG00000264644
LINC01640	ENSG00000231253
IGSF11	ENSG00000144847
RPL10P3	ENSG00000230734
PRKG1	ENSG00000185532
TRIM32	ENSG00000119401
FAM189A2	ENSG00000135063
LGSN	ENSG00000146166
DCBLD2	ENSG00000057019
CYB5R4	ENSG00000065615
B4GALT6	ENSG00000118276
ASTN2	ENSG00000148219
FAM53A	ENSG00000174137
MIA-RAB4B	ENSG00000268975
CYP2A7P2	ENSG00000198251
EGLN2	ENSG00000269858
MBNL2	ENSG00000139793
MOB1B	ENSG00000173542
CSPG4	ENSG00000173546
SIGLEC20P	ENSG00000268336
RSL24D1P6	ENSG00000224452
TUBB8	ENSG00000261456
TSPY26P	ENSG00000235217
PRR20E	ENSG00000234278
SIGLEC21P	ENSG00000269253
RPL26P29	ENSG00000234806
TRBV22OR9-2	ENSG00000234122
TRBV23OR9-2	ENSG00000229063
PRR20FP	ENSG00000271140
MVP	ENSG00000013364
MTCO2P3	ENSG00000230009
TRBV24OR9-2	ENSG00000215206
INTS1	ENSG00000164880
TP53RK	ENSG00000172315
SHLD1	ENSG00000171984
MTERF3	ENSG00000156469
IGSF11-AS1	ENSG00000239877
TRBV25OR9-2	ENSG00000240215
PNPT1P1	ENSG00000229241
SETMAR	ENSG00000170364
SLC25A5P4	ENSG00000234421
DCK	ENSG00000156136
SCN10A	ENSG00000185313
PTENP1-AS	ENSG00000281128
PTENP1	ENSG00000237984
HSPA4	ENSG00000170606
SLC13A3	ENSG00000158296
PPP1R15A	ENSG00000087074
LRRN1	ENSG00000175928
MTO1	ENSG00000135297
FOXI1	ENSG00000168269
HIGD1AP10	ENSG00000254455
PDCL2P2	ENSG00000255058
CYP2G1P	ENSG00000130612
PSMD12	ENSG00000197170
